Ti.TiO2 (100%)/1	
θ/2θ, °	Intensity, cps
9.48999977111816	446.666656494141
9.5	513.333312988281
9.51000022888184	440
9.52000045776367	400
9.52999973297119	366.666656494141
9.53999996185303	466.666656494141
9.55000019073486	406.666656494141
9.5600004196167	433.333343505859
9.56999969482422	453.333343505859
9.57999992370605	433.333343505859
9.59000015258789	460
9.60000038146973	400
9.60999965667725	453.333343505859
9.61999988555908	420
9.63000011444092	360
9.64000034332275	393.333343505859
9.64999961853027	406.666656494141
9.65999984741211	460
9.67000007629395	453.333343505859
9.68000030517578	446.666656494141
9.6899995803833	380
9.69999980926514	373.333343505859
9.71000003814697	453.333343505859
9.72000026702881	520
9.72999954223633	306.666656494141
9.73999977111816	400
9.75	340
9.76000022888184	326.666656494141
9.77000045776367	440
9.77999973297119	380
9.78999996185303	413.333343505859
9.80000019073486	380
9.8100004196167	386.666656494141
9.81999969482422	406.666656494141
9.82999992370605	366.666656494141
9.84000015258789	386.666656494141
9.85000038146973	446.666656494141
9.85999965667725	340
9.86999988555908	400
9.88000011444092	433.333343505859
9.89000034332275	393.333343505859
9.89999961853027	413.333343505859
9.90999984741211	473.333343505859
9.92000007629395	333.333343505859
9.93000030517578	346.666656494141
9.9399995803833	320
9.94999980926514	393.333343505859
9.96000003814697	413.333343505859
9.97000026702881	386.666656494141
9.97999954223633	393.333343505859
9.98999977111816	486.666656494141
10	380
10.0100002288818	433.333343505859
10.0200004577637	373.333343505859
10.0299997329712	373.333343505859
10.039999961853	353.333343505859
10.0500001907349	366.666656494141
10.0600004196167	413.333343505859
10.0699996948242	393.333343505859
10.0799999237061	433.333343505859
10.0900001525879	393.333343505859
10.1000003814697	353.333343505859
10.1099996566772	406.666656494141
10.1199998855591	373.333343505859
10.1300001144409	360
10.1400003433228	326.666656494141
10.1499996185303	386.666656494141
10.1599998474121	333.333343505859
10.1700000762939	320
10.1800003051758	406.666656494141
10.1899995803833	286.666656494141
10.1999998092651	353.333343505859
10.210000038147	306.666656494141
10.2200002670288	413.333343505859
10.2299995422363	420
