Ti.TiO2-IrO2 (80.20)/1	
θ/2θ, °	Intensity, cps
13.9399995803833	346.666656494141
13.9499998092651	420
13.960000038147	486.666656494141
13.9700002670288	286.666656494141
13.9799995422363	346.666656494141
13.9899997711182	360
14	360
14.0100002288818	366.666656494141
14.0200004577637	433.333343505859
14.0299997329712	406.666656494141
14.039999961853	300
14.0500001907349	413.333343505859
14.0600004196167	440
14.0699996948242	400
14.0799999237061	366.666656494141
14.0900001525879	386.666656494141
14.1000003814697	353.333343505859
14.1099996566772	293.333343505859
14.1199998855591	340
14.1300001144409	466.666656494141
14.1400003433228	340
14.1499996185303	280
14.1599998474121	280
14.1700000762939	380
14.1800003051758	353.333343505859
14.1899995803833	360
14.1999998092651	433.333343505859
14.210000038147	380
14.2200002670288	420
14.2299995422363	420
14.2399997711182	393.333343505859
14.25	413.333343505859
14.2600002288818	420
14.2700004577637	353.333343505859
14.2799997329712	400
14.289999961853	340
14.3000001907349	326.666656494141
14.3100004196167	333.333343505859
14.3199996948242	360
14.3299999237061	346.666656494141
14.3400001525879	386.666656494141
14.3500003814697	326.666656494141
14.3599996566772	360
14.3699998855591	360
14.3800001144409	340
14.3900003433228	333.333343505859
14.3999996185303	313.333343505859
14.4099998474121	380
14.4200000762939	346.666656494141
14.4300003051758	440
14.4399995803833	333.333343505859
14.4499998092651	340
14.460000038147	360
14.4700002670288	360
14.4799995422363	326.666656494141
14.4899997711182	306.666656494141
14.5	400
14.5100002288818	320
14.5200004577637	360
14.5299997329712	333.333343505859
14.539999961853	400
14.5500001907349	386.666656494141
14.5600004196167	313.333343505859
14.5699996948242	360
14.5799999237061	266.666656494141
14.5900001525879	366.666656494141
14.6000003814697	413.333343505859
14.6099996566772	366.666656494141
14.6199998855591	393.333343505859
14.6300001144409	406.666656494141
14.6400003433228	353.333343505859
14.6499996185303	333.333343505859
14.6599998474121	380
14.6700000762939	340
14.6800003051758	420
14.6899995803833	346.666656494141
14.6999998092651	266.666656494141
14.710000038147	400
14.7200002670288	380
14.7299995422363	433.333343505859
14.7399997711182	406.666656494141
14.75	313.333343505859
14.7600002288818	333.333343505859
14.7700004577637	293.333343505859
14.7799997329712	313.333343505859
14.789999961853	360
14.8000001907349	360
14.8100004196167	413.333343505859
14.8199996948242	306.666656494141
14.8299999237061	293.333343505859
14.8400001525879	313.333343505859
14.8500003814697	366.666656494141
14.8599996566772	366.666656494141
14.8699998855591	333.333343505859
14.8800001144409	380
14.8900003433228	300
14.8999996185303	360
14.9099998474121	420
14.9200000762939	366.666656494141
14.9300003051758	353.333343505859
14.9399995803833	346.666656494141
14.9499998092651	346.666656494141
14.960000038147	433.333343505859
14.9700002670288	286.666656494141
14.9799995422363	320
14.9899997711182	400
15	386.666656494141
15.0100002288818	406.666656494141
15.0200004577637	346.666656494141
15.0299997329712	366.666656494141
15.039999961853	300
15.0500001907349	360
15.0600004196167	400
15.0699996948242	213.33332824707
15.0799999237061	313.333343505859
15.0900001525879	400
15.1000003814697	373.333343505859
15.1099996566772	293.333343505859
15.1199998855591	420
15.1300001144409	306.666656494141
15.1400003433228	460
15.1499996185303	340
15.1599998474121	393.333343505859
15.1700000762939	326.666656494141
15.1800003051758	373.333343505859
15.1899995803833	233.33332824707
15.1999998092651	360
15.210000038147	326.666656494141
15.2200002670288	313.333343505859
15.2299995422363	386.666656494141
15.2399997711182	400
15.25	320
15.2600002288818	373.333343505859
15.2700004577637	353.333343505859
15.2799997329712	313.333343505859
15.289999961853	300
15.3000001907349	273.333343505859
15.3100004196167	340
15.3199996948242	340
15.3299999237061	280
15.3400001525879	333.333343505859
15.3500003814697	360
15.3599996566772	393.333343505859
15.3699998855591	353.333343505859
15.3800001144409	440
15.3900003433228	353.333343505859
15.3999996185303	333.333343505859
15.4099998474121	320
15.4200000762939	373.333343505859
15.4300003051758	340
15.4399995803833	360
15.4499998092651	306.666656494141
15.460000038147	320
15.4700002670288	400
15.4799995422363	380
15.4899997711182	386.666656494141
15.5	386.666656494141
15.5100002288818	333.333343505859
15.5200004577637	373.333343505859
15.5299997329712	346.666656494141
15.539999961853	313.333343505859
15.5500001907349	373.333343505859
15.5600004196167	300
15.5699996948242	366.666656494141
15.5799999237061	306.666656494141
15.5900001525879	266.666656494141
15.6000003814697	320
15.6099996566772	360
15.6199998855591	333.333343505859
15.6300001144409	380
15.6400003433228	366.666656494141
15.6499996185303	320
15.6599998474121	340
15.6700000762939	353.333343505859
15.6800003051758	400
15.6899995803833	293.333343505859
